Gene_id	Symbol	Gene_type	Sample_R01	Sample_R02	Sample_R03	Sample_R04	Sample_R05	Sample_R06	Sample_R07	Sample_R08	Sample_R09	Sample_R10	Sample_R11	Sample_R12	Sample_R13	Sample_R14
ENSMUSG00000000001	Gnai3	protein_coding	6424	6407	4767	5090	4522	5007	4312	4031	3249	3181	4097	3492	4721	5445
ENSMUSG00000000003	Pbsn	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	Cdc45	protein_coding	832	816	556	639	89	121	105	68	42	50	273	248	214	186
ENSMUSG00000000031	H19	lincRNA	34392	31291	56910	60554	124038	178011	116064	105476	680341	634485	61122	68684	149104	147142
ENSMUSG00000000037	Scml2	protein_coding	1	1	2	3	3	1	6	3	2	0	1	0	4	3
ENSMUSG00000000049	Apoh	protein_coding	0	0	1	3	0	3	5	0	0	0	2	0	0	1
ENSMUSG00000000056	Narf	protein_coding	833	802	718	785	1086	1302	1234	924	1007	1126	889	890	801	918
ENSMUSG00000000058	Cav2	protein_coding	1076	1030	1361	1410	456	395	1366	1513	250	249	264	243	343	422
ENSMUSG00000000078	Klf6	protein_coding	4916	5133	6233	6633	4575	4802	7821	7199	4818	4805	6443	6378	4972	5323
ENSMUSG00000000085	Scmh1	protein_coding	1073	1099	882	946	581	765	804	712	337	356	489	502	606	675
ENSMUSG00000000088	Cox5a	protein_coding	4047.14	4232.9	2709.57	2970.16	2958.65	3020	2682.71	1953	4524	4034.66	3931.79	4333.5	4340	3443.38
ENSMUSG00000000093	Tbx2	protein_coding	17	8	9	5	12	14	5	4	1	0	5	11	10	5
ENSMUSG00000000094	Tbx4	protein_coding	70	68	68	66	77	119	104	85	115	106	92	100	44	70
ENSMUSG00000000103	Zfy2	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	Ngfr	protein_coding	30	35	11	7	4	8	2	2	1	1	30	20	12	9
ENSMUSG00000000125	Wnt3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000126	Wnt9a	protein_coding	125	137	206	254	156	139	299	253	127	138	87	81	112	96
ENSMUSG00000000127	Fer	protein_coding	1465	1622	1712	1838	815	898	1424	1118	843	970	860	741	581	772
ENSMUSG00000000131	Xpo6	protein_coding	2911	2893	1859	2165	1610	2222	1737	1505	1139	1278	1874	1853	1418	1709
ENSMUSG00000000134	Tfe3	protein_coding	2302	2132	1728	1862	1685	2404	1721	1627	1333	1527	1892	1880	1834	1904
ENSMUSG00000000142	Axin2	protein_coding	10	10	18	17	10	16	163	112	20	31	16	20	8	12
ENSMUSG00000000148	Brat1	protein_coding	566	542	406	429	423	628	574	439	511	534	596	676	430	460
ENSMUSG00000000149	Gna12	protein_coding	2665	2443	1948	2081	1319	2192	1893.86	1507	1672	1799	3166	3368	1712	1664
ENSMUSG00000000154	Slc22a18	protein_coding	3	2	1	5	3	3	4	5	0	1	5	9	3	3
ENSMUSG00000000157	Itgb2l	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000000159	Igsf5	protein_coding	198	188	216	251.68	29	46	187.85	175.68	9	19	5	2	16	12
ENSMUSG00000000167	Pih1d2	protein_coding	29	25	28	25	34	28	34	32	24	23	20	20	23	27
ENSMUSG00000000168	Dlat	protein_coding	3213	3039	2353	2616	2630	3145	2382	2104	3710	3568	2449	2241	2567	2803
ENSMUSG00000000171	Sdhd	protein_coding	3056	2900	2433	2553	2358	3024	2567	2120	3586	3251	2659	2700	2813	2565
ENSMUSG00000000182	Fgf23	protein_coding	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000000183	Fgf6	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0
